name,totalquantity,priceperitem,pricepaid
3 Forks Big Wisteria,10,35.0,
8 tier cascade wedding cake stand,10,250.0,
Acrylic Flower stand 60cm with flowers,20,280.0,
Acrylic Flower stand 80cm with white big flowers,4,320.0,
Acrylic stand 60cm,10,80.0,140.0
Acrylic stand 80cm,4,100.0,200.0
Backdrop blomster (grønn og rød),30,25.0,
Backdrop blomster grønn og hvit,30,25.0,
Backdrop champagne (champagne),30,25.0,
Backdrop gardin 3m x 3m,1,350.0,
Backdrop on stage Nr. 58 showroom with white top,1,3000.0,
Backdrop set (without Chandelia),1,3700.0,
Backdrop stativ 3m,2,400.0,1500.0
Ballong Column Stand Kit,2,70.0,
Ballong pumper,1,50.0,
Ballong stand (medium),2,70.0,
Ballong stand (mini),8,70.0,
Ballong/blomster bue green medium,2,250.0,
Ballong/blomsterbue Stor,1,600.0,
Ballonger,5,150.0,
Beige wedding sofa for Bride & Groom,1,2300.0,
Bestikk gull,174,25.0,60.0
Blomster vase 17cm,34,10.0,29.0
Blomster vase liten 25 stk,25,5.0,
Bordduk (hvit) 145 x 240,70,35.0,
Bordduk (rundt – hvit stor 240cm),10,70.0,
Bordduk (rundt – hvit stor 280cm),13,80.0,
Bordduk (rundt grå) 180 cm,10,40.0,
Bordkort holder gul set,20,5.0,
Candlelight cake stand,1,150.0,
Candles for Candelabra,20,25.0,
Chafing dish 7 lt,10,200.0,1200.0
Champagne glass,60,,5.0
Dance floor sticker Mr & Mrs,1,560.0,
Decoration,1,1.0,
Dekketallerken 33cm Gull ,100,15.0,55.0
Dekketallerken 33cm Sølv ,75,15.0,
Discokule,2,100.0,
En uke leie,1,100.0,
Eucalyptus leaves for brides table + extra leaves,15,35.0,
Flashing Flameless Candle 3 sizes & Batteries,50,130.0,
Flower arch with decoration for aisle,1,4840.0,
Flowers Wedding Vine Wedding Decor Ivy Decor,15,25.0,
Garland leaves green,40,15.0,
Garland rose small,25,15.0,
Girlander med hvit rosa 2m,35,35.0,
Girlander med rød rosa 2m,30,25.0,
"Glass/Blomster vase 3 størrelser – 28, 23, 17 cm",35,70.0,
Gold palm leaves,50,12.0,
Golden Chairs,2,750.0,5700.0
Gull blomster vase 13 cm,10,50.0,160.0
Gull blomster vase 19 cm,10,50.0,180.0
Gull centerpiece 50 cm,22,70.0,
Gull kake stand 3 størrelser,3,150.0,
Kunstig blomster (medium) Blå,20,70.0,
Kunstig blomster (medium) Champagne,20,70.0,
Kunstig blomster (medium) rød,20,70.0,
Kunstig blomster (små),30,15.0,
Kunstig blomster oppsett (Stor),30,250.0,
Kunstig Hvit blomster (stor 40cm x 20 cm),22,150.0,
Kunstig Table Flower Centerpiece Arch Rose,16,120.0,
Kunstig Table Flower Centerpiece Arch Rose white,32,100.0,
Led white candles,15,100.0,
Ligthening system,1,2100.0,
Live candles with glass cylinder vase,10,85.0,
Live candles with glass cylinder vase (3 sets),10,140.0,
Long Wisteria Hanging Wisteria Plant,60,10.0,
Mat container 13 lt,6,120.0,
Mini sign 10 stk,1,50.0,
Mirrors,14,15.0,
Photo wall 3m x 3m decorations flowers,1,3000.0,
Rebate,1,-1.0,
Rose garlands & other green leaves on each table,120,15.0,
"Roses pink, champagne white",50,10.0,
Rødløper 10m,2,250.0,
Sashes blue,60,10.0,
Sashes gold,150,15.0,
Sashes green,260,15.0,
Sashes pink,120,15.0,
Satin løper (burgundy),50,20.0,
Satin servietter (burgundy),150,5.0,
Servietter i 100% bomull,120,10.0,
Serviettringer,60,8.0,
Small bouquet flowers for brides table,4,35.0,
Stol gul,7,50.0,
Stoltrekk (hvit),250,15.0,40.0
Table runner gold,6,56.0,
Table runner green,40,80.0,
Table Skirt,1,250.0,
Telys holder gul/sølv,24,12.0,
Vann dispenser 7 lt,5,75.0,120.0
Vask av duker 240/280,1,75.0,
Vask av duker 145x240,1,60.0,
Vask av glass vaser,1,10.0,
Vask av Stoltrekk,1,6.5,
Vinglass (hvit),60,12.0,49.0
Vin/vann karaffel,24,12.0,
